party,state,percentage_2014,percentage_2019,percentage_difference
BJP,"West Bengal",1.6715,3.7495,2.0780
CPIM,Kerala,0.0021,0.8581,0.8560
CPIM,"West Bengal",0.0014,0.5879,0.5865
INC,"Tamil Nadu",0.3367,0.8802,0.5434
DMK,"Tamil Nadu",1.8404,2.3386,0.4982
BJP,Haryana,0.7680,1.1979,0.4300
BJP,"Madhya Pradesh",3.0798,3.4855,0.4057
BJP,"Uttar Pradesh",6.5995,6.9782,0.3786
BJP,Karnataka,2.5673,2.9395,0.3722
JD(U),Bihar,1.0889,1.4495,0.3607
IND,"Tamil Nadu",0.1666,0.5069,0.3403
BJP,Jharkhand,1.0014,1.2413,0.2399
INC,Rajasthan,1.5827,1.8086,0.2259
BJP,Rajasthan,2.8643,3.0884,0.2241
BJP,Telangana,0.3875,0.5904,0.2030
INC,Assam,0.8591,1.0378,0.1787
CPIM,"Tamil Nadu",0.0020,0.1659,0.1639
INC,Kerala,1.0750,1.2369,0.1619
BJP,Tripura,0.0222,0.1719,0.1497
AGP,Assam,0.1111,0.2411,0.1300
IND,Karnataka,0.0930,0.2227,0.1297
CPI,"Tamil Nadu",0.0423,0.1680,0.1257
AITC,"West Bengal",3.9068,4.0310,0.1242
SHS,Maharashtra,1.9327,2.0498,0.1170
BJP,"Himachal Pradesh",0.3179,0.4333,0.1154
RLD,"Uttar Pradesh",0.1326,0.2357,0.1031
INC,"Madhya Pradesh",1.9884,2.0732,0.0848
LJP,Bihar,0.4415,0.5222,0.0807
INC,Haryana,0.5067,0.5868,0.0801
INC,"NCT OF Delhi",0.2410,0.3181,0.0772
BJP,Kerala,0.3571,0.4292,0.0721
IND,Bihar,0.2948,0.3624,0.0675
BJP,"NCT OF Delhi",0.7382,0.7992,0.0610
BJP,Manipur,0.0324,0.0901,0.0577
INC,Jharkhand,0.3317,0.3808,0.0491
JMM,Jharkhand,0.2317,0.2805,0.0488
BJP,"Jammu & Kashmir",0.2220,0.2683,0.0464
NOTA,"Andhra Pradesh",0.0357,0.0763,0.0407
IUML,"Tamil Nadu",0.0396,0.0765,0.0369
INC,Puducherry,0.0375,0.0725,0.0350
BLSP,Bihar,0.2074,0.2381,0.0307
INC,Tripura,0.0592,0.0888,0.0297
INC,Meghalaya,0.0786,0.1075,0.0288
BSP,Punjab,0.0506,0.0781,0.0275
PMK,"Tamil Nadu",0.3471,0.3741,0.0270
IUML,Kerala,0.1570,0.1810,0.0240
SBSP,"Uttar Pradesh",0.0214,0.0452,0.0237
BVA,Maharashtra,0.0565,0.0800,0.0236
UDP,Meghalaya,0.0205,0.0435,0.0230
NOTA,Bihar,0.1117,0.1330,0.0213
IND,Maharashtra,0.3033,0.3243,0.0210
INC,Punjab,0.8799,0.8993,0.0193
IND,Jharkhand,0.0820,0.1012,0.0192
INC,Nagaland,0.0602,0.0788,0.0186
RJD,Jharkhand,0.0409,0.0589,0.0180
CPIM,Maharashtra,0.0007,0.0181,0.0174
BSP,Karnataka,0.0510,0.0671,0.0162
IND,"Dadra & Nagar Haveli",0.0005,0.0159,0.0153
BJP,Uttarakhand,0.4672,0.4811,0.0139
NOTA,Punjab,0.0113,0.0251,0.0138
BJP,Gujarat,2.9324,2.9456,0.0132
AJSUP,Jharkhand,0.0926,0.1056,0.0129
APoI,Rajasthan,0.0016,0.0144,0.0127
IPFT,Tripura,0.0041,0.0146,0.0105
BOPF,Assam,0.0635,0.0727,0.0093
BJP,"Arunachal Pradesh",0.0529,0.0618,0.0089
IND,"Madhya Pradesh",0.1055,0.1138,0.0083
JPC,"Jammu & Kashmir",0.0137,0.0218,0.0081
INC,"Jammu & Kashmir",0.1568,0.1647,0.0079
SSD,Bihar,0.0013,0.0089,0.0076
INC,Chandigarh,0.0234,0.0300,0.0066
IND,Manipur,0.0083,0.0139,0.0057
NPF,Manipur,0.0541,0.0592,0.0051
YSRCP,"Andhra Pradesh",2.5251,2.5297,0.0046
SBSP,Bihar,0.0014,0.0060,0.0045
MADP,"Uttar Pradesh",0.0030,0.0073,0.0043
NOTA,"Uttar Pradesh",0.1139,0.1181,0.0042
CPIM,Jharkhand,0.0029,0.0067,0.0039
SKM,Sikkim,0.0235,0.0272,0.0037
NPEP,Meghalaya,0.0460,0.0496,0.0036
RSOSP,"Uttar Pradesh",0.0002,0.0038,0.0036
BSCP,"Madhya Pradesh",0.0071,0.0101,0.0030
HND,Gujarat,0.0007,0.0037,0.0029
RSP,Kerala,0.0786,0.0814,0.0028
RSPS,"Uttar Pradesh",0.0003,0.0030,0.0026
BJKVP,Bihar,0.0041,0.0067,0.0025
BBC,Bihar,0.0006,0.0031,0.0025
SDPI,Karnataka,0.0052,0.0076,0.0024
NEP,"Uttar Pradesh",0.0006,0.0029,0.0024
MOSP,Bihar,0.0006,0.0029,0.0023
BJKD,Bihar,0.0016,0.0038,0.0022
INC,Goa,0.0574,0.0596,0.0022
IND,Tripura,0.0034,0.0056,0.0022
BRPI,"Uttar Pradesh",0.0004,0.0023,0.0019
IND,"Arunachal Pradesh",0.0005,0.0022,0.0017
SAD(M),Punjab,0.0068,0.0085,0.0017
APoI,"Madhya Pradesh",0.0037,0.0053,0.0016
JanSP,Punjab,0.0002,0.0018,0.0016
PPOI,Karnataka,0.0018,0.0034,0.0015
NOTA,Telangana,0.0298,0.0311,0.0013
MCPI,Telangana,0.0017,0.0030,0.0013
BJP,Sikkim,0.0014,0.0027,0.0013
AIFB,"Uttar Pradesh",0.0007,0.0020,0.0013
BMF,Bihar,0.0026,0.0039,0.0012
BMUP,Haryana,0.0007,0.0018,0.0012
CPIM,"Madhya Pradesh",0.0011,0.0023,0.0012
APoI,Maharashtra,0.0072,0.0084,0.0012
SHS,"Madhya Pradesh",0.0005,0.0016,0.0011
PGSP,"Uttar Pradesh",0.0008,0.0019,0.0011
PHRC,"Madhya Pradesh",0.0006,0.0016,0.0010
RVNP,Bihar,0.0009,0.0017,0.0009
BSP,"Himachal Pradesh",0.0044,0.0053,0.0009
IPGP,Rajasthan,0.0007,0.0016,0.0009
IND,"Andaman & Nicobar Islands",0.0007,0.0015,0.0009
NOTA,Assam,0.0283,0.0290,0.0008
IUML,Maharashtra,0.0006,0.0014,0.0008
BJP,Chandigarh,0.0368,0.0376,0.0008
BMUP,Telangana,0.0018,0.0024,0.0006
CPIM,Punjab,0.0011,0.0017,0.0006
ASaP,"Uttar Pradesh",0.0003,0.0009,0.0006
SHS,"Dadra & Nagar Haveli",0.0001,0.0007,0.0006
PBI,Bihar,0.0004,0.0010,0.0005
AIFB,"Jammu & Kashmir",0.0002,0.0006,0.0005
CPIM,Karnataka,0.0031,0.0036,0.0005
NCP,Punjab,0.0004,0.0009,0.0005
PSJP,"Uttar Pradesh",0.0001,0.0005,0.0005
UPP,Uttarakhand,0.0004,0.0009,0.0005
bns,Maharashtra,0.0004,0.0008,0.0004
AIPF,"Uttar Pradesh",0.0013,0.0018,0.0004
JKP(N),"West Bengal",0.0015,0.0018,0.0004
AIFB,Bihar,0.0023,0.0027,0.0003
RSPS,Gujarat,0.0002,0.0005,0.0003
ADPT,Gujarat,0.0006,0.0009,0.0003
IND,"Himachal Pradesh",0.0055,0.0058,0.0003
KCVP,Karnataka,0.0001,0.0004,0.0003
SaVP,"Madhya Pradesh",0.0001,0.0004,0.0003
ANC,Maharashtra,0.0009,0.0012,0.0003
JD(U),Manipur,0.0002,0.0005,0.0003
ETMK,"Tamil Nadu",0.0006,0.0009,0.0003
BMUP,Uttarakhand,0.0001,0.0005,0.0003
SHS,Telangana,0.0003,0.0004,0.0002
NOTA,Haryana,0.0066,0.0068,0.0002
RSPS,Karnataka,0.0006,0.0008,0.0002
RPI(A),"Madhya Pradesh",0.0014,0.0015,0.0002
AMB,Tripura,0.0014,0.0016,0.0002
BSP,Jharkhand,0.0269,0.0271,0.0002
BSP,"Andaman & Nicobar Islands",0.0002,0.0004,0.0002
BMUP,"Dadra & Nagar Haveli",0.0001,0.0003,0.0002
RPI(A),"NCT OF Delhi",0.0003,0.0005,0.0002
ANC,"NCT OF Delhi",0.0002,0.0003,0.0002
RPI(KH),Telangana,0.0003,0.0004,0.0001
AIFB,"Andhra Pradesh",0.0002,0.0003,0.0001
NOTA,Goa,0.0019,0.0020,0.0001
PAP,Gujarat,0.0001,0.0002,0.0001
RPI(A),Haryana,0.0002,0.0003,0.0001
ABHM,"Madhya Pradesh",0.0004,0.0005,0.0001
SVPP,Maharashtra,0.0001,0.0002,0.0001
JMBP,Maharashtra,0.0001,0.0002,0.0001
RPI,"Tamil Nadu",0.0000,0.0001,0.0001
RND,"Uttar Pradesh",0.0002,0.0003,0.0001
BKPP,"Uttar Pradesh",0.0014,0.0015,0.0001
RVLP,"Uttar Pradesh",0.0006,0.0006,0.0001
NOTA,Chandigarh,0.0006,0.0007,0.0001
CPI(ML)(L),Puducherry,0.0001,0.0001,0.0001
pjdl,Telangana,0.0002,0.0002,0.0000
NOTA,"Arunachal Pradesh",0.0012,0.0012,0.0000
JKNPP,Bihar,0.0005,0.0006,0.0000
RSWD,Bihar,0.0013,0.0014,0.0000
AIFB,Haryana,0.0003,0.0002,0.0000
RJAVP,Haryana,0.0000,0.0001,0.0000
AVIRP,Haryana,0.0001,0.0001,0.0000
ABJS,Maharashtra,0.0001,0.0001,0.0000
RPI(A),"Tamil Nadu",0.0009,0.0008,0.0000
MKUP,"Uttar Pradesh",0.0001,0.0001,0.0000
RTKP,"Uttar Pradesh",0.0008,0.0008,0.0000
SaDa,"Uttar Pradesh",0.0004,0.0005,0.0000
AIFB,"Andaman & Nicobar Islands",0.0000,0.0000,0.0000
BMUP,Chandigarh,0.0001,0.0001,0.0000
BSP,"Dadra & Nagar Haveli",0.0002,0.0002,0.0000
JD(U),"Dadra & Nagar Haveli",0.0000,0.0000,0.0000
BSP,"Daman & Diu",0.0001,0.0001,0.0000
NOTA,"Daman & Diu",0.0003,0.0002,0.0000
RaJPa,"NCT OF Delhi",0.0000,0.0000,0.0000
BVLP,"NCT OF Delhi",0.0000,0.0000,0.0000
PHRC,"NCT OF Delhi",0.0000,0.0000,0.0000
AIFB,"NCT OF Delhi",0.0001,0.0001,0.0000
CPI,Lakshadweep,0.0000,0.0000,0.0000
BJP,Lakshadweep,0.0000,0.0000,0.0000
NOTA,Lakshadweep,0.0000,0.0000,0.0000
BSP,Puducherry,0.0004,0.0004,0.0000
BCBDP,Telangana,0.0001,0.0000,-0.0001
sps,Telangana,0.0001,0.0000,-0.0001
SUCI,Telangana,0.0001,0.0000,-0.0001
SP(I),Telangana,0.0001,0.0000,-0.0001
NBNP,Telangana,0.0001,0.0000,-0.0001
NPT,"Andhra Pradesh",0.0003,0.0002,-0.0001
BMUP,Goa,0.0001,0.0000,-0.0001
GOA,Goa,0.0001,0.0000,-0.0001
NYP,Gujarat,0.0001,0.0000,-0.0001
BIP,Haryana,0.0001,0.0000,-0.0001
AIPF,Haryana,0.0001,0.0000,-0.0001
ABHKP,Haryana,0.0001,0.0000,-0.0001
ABML(S),"Jammu & Kashmir",0.0001,0.0000,-0.0001
AIFB,Karnataka,0.0001,0.0000,-0.0001
igp,Kerala,0.0001,0.0001,-0.0001
SLAP,Kerala,0.0001,0.0000,-0.0001
RPI,Kerala,0.0001,0.0000,-0.0001
ABMP,Maharashtra,0.0002,0.0001,-0.0001
PPIS,Maharashtra,0.0001,0.0000,-0.0001
NLP,Maharashtra,0.0001,0.0000,-0.0001
JD(U),Punjab,0.0006,0.0004,-0.0001
RPI(A),Punjab,0.0004,0.0003,-0.0001
AIFB,Rajasthan,0.0001,0.0000,-0.0001
ABCD(A),Rajasthan,0.0001,0.0000,-0.0001
RAHM,Rajasthan,0.0001,0.0000,-0.0001
JD(U),"Tamil Nadu",0.0001,0.0000,-0.0001
APM,"Tamil Nadu",0.0001,0.0000,-0.0001
BDBRAJP,"Tamil Nadu",0.0001,0.0000,-0.0001
TTNC,"Tamil Nadu",0.0001,0.0000,-0.0001
IVP,"Tamil Nadu",0.0001,0.0000,-0.0001
RJ,"Uttar Pradesh",0.0001,0.0000,-0.0001
VAJP,"Uttar Pradesh",0.0001,0.0000,-0.0001
AIRSP,"Uttar Pradesh",0.0001,0.0000,-0.0001
NNP,"Uttar Pradesh",0.0001,0.0000,-0.0001
RtrJP,"Uttar Pradesh",0.0003,0.0002,-0.0001
IOP,"Uttar Pradesh",0.0001,0.0000,-0.0001
NLP,"Uttar Pradesh",0.0001,0.0000,-0.0001
RSD,"Uttar Pradesh",0.0001,0.0000,-0.0001
"A S P","Uttar Pradesh",0.0001,0.0000,-0.0001
IUML,"Uttar Pradesh",0.0001,0.0000,-0.0001
BNIP,"Uttar Pradesh",0.0003,0.0002,-0.0001
BKrD,"Uttar Pradesh",0.0008,0.0008,-0.0001
NYP,"Uttar Pradesh",0.0001,0.0000,-0.0001
UPRP,"Uttar Pradesh",0.0001,0.0000,-0.0001
BHNKP,"Uttar Pradesh",0.0001,0.0000,-0.0001
ABAS,"Uttar Pradesh",0.0001,0.0000,-0.0001
ABRS,"Uttar Pradesh",0.0001,0.0000,-0.0001
RGD,"Uttar Pradesh",0.0002,0.0002,-0.0001
kajp,"Uttar Pradesh",0.0003,0.0002,-0.0001
grac,"West Bengal",0.0006,0.0005,-0.0001
HKRD,Uttarakhand,0.0001,0.0000,-0.0001
ABML(S),Uttarakhand,0.0001,0.0000,-0.0001
AIMF,Uttarakhand,0.0001,0.0000,-0.0001
PHRC,Uttarakhand,0.0001,0.0000,-0.0001
CPI(ML)(L),"Andaman & Nicobar Islands",0.0001,0.0000,-0.0001
SP,"Andaman & Nicobar Islands",0.0001,0.0000,-0.0001
NOTA,"Andaman & Nicobar Islands",0.0003,0.0002,-0.0001
IVD,Chandigarh,0.0001,0.0000,-0.0001
HEP,Chandigarh,0.0001,0.0000,-0.0001
JD(U),Chandigarh,0.0001,0.0000,-0.0001
AAAP,"Dadra & Nagar Haveli",0.0001,0.0000,-0.0001
NOTA,"Dadra & Nagar Haveli",0.0006,0.0005,-0.0001
AAAP,"Daman & Diu",0.0001,0.0000,-0.0001
JMBP,"NCT OF Delhi",0.0003,0.0003,-0.0001
bjdi,"NCT OF Delhi",0.0002,0.0001,-0.0001
BGTD,"NCT OF Delhi",0.0001,0.0000,-0.0001
VSP,"NCT OF Delhi",0.0001,0.0000,-0.0001
RJ,"NCT OF Delhi",0.0001,0.0000,-0.0001
REP,"NCT OF Delhi",0.0001,0.0000,-0.0001
SUCI,"NCT OF Delhi",0.0001,0.0000,-0.0001
BRPP,"NCT OF Delhi",0.0001,0.0000,-0.0001
NLP,"NCT OF Delhi",0.0001,0.0000,-0.0001
BJM,"NCT OF Delhi",0.0001,0.0000,-0.0001
SP(I),"NCT OF Delhi",0.0001,0.0000,-0.0001
HND,"NCT OF Delhi",0.0001,0.0000,-0.0001
SJP(R),"NCT OF Delhi",0.0001,0.0000,-0.0001
BHBP,"NCT OF Delhi",0.0001,0.0000,-0.0001
RBHP,"NCT OF Delhi",0.0001,0.0000,-0.0001
ABSP,"NCT OF Delhi",0.0001,0.0000,-0.0001
RJAP,"NCT OF Delhi",0.0001,0.0000,-0.0001
JSMP,"NCT OF Delhi",0.0001,0.0000,-0.0001
CPM,Lakshadweep,0.0001,0.0000,-0.0001
SP,Lakshadweep,0.0001,0.0000,-0.0001
JD(U),Puducherry,0.0001,0.0000,-0.0001
SAP,Puducherry,0.0001,0.0000,-0.0001
AIFB,Telangana,0.0004,0.0002,-0.0002
mmsp,Telangana,0.0002,0.0000,-0.0002
JAP,Telangana,0.0002,0.0000,-0.0002
TECPI,Telangana,0.0004,0.0003,-0.0002
RPC(S),"Andhra Pradesh",0.0004,0.0002,-0.0002
SUCI,"Andhra Pradesh",0.0002,0.0000,-0.0002
ANC,"Andhra Pradesh",0.0005,0.0002,-0.0002
JD(S),"Andhra Pradesh",0.0002,0.0000,-0.0002
LB,"Arunachal Pradesh",0.0002,0.0000,-0.0002
GSRP,Goa,0.0002,0.0000,-0.0002
RPIE,Gujarat,0.0002,0.0000,-0.0002
LoRP,Gujarat,0.0003,0.0001,-0.0002
ABCD(A),Gujarat,0.0002,0.0000,-0.0002
BSDL,Gujarat,0.0003,0.0001,-0.0002
RPI(KH),Gujarat,0.0002,0.0000,-0.0002
RKEP,Gujarat,0.0002,0.0000,-0.0002
VoP,Gujarat,0.0002,0.0000,-0.0002
RPI,Haryana,0.0003,0.0001,-0.0002
LD,Haryana,0.0002,0.0000,-0.0002
RPP(LB),Haryana,0.0002,0.0000,-0.0002
RBHP,Haryana,0.0002,0.0000,-0.0002
PHRC,Haryana,0.0002,0.0000,-0.0002
RMOP,Haryana,0.0002,0.0000,-0.0002
JD(U),Haryana,0.0002,0.0000,-0.0002
RBCP,Haryana,0.0002,0.0000,-0.0002
BMUP,"Himachal Pradesh",0.0003,0.0001,-0.0002
HiSP,"Himachal Pradesh",0.0002,0.0000,-0.0002
NOTA,"Himachal Pradesh",0.0056,0.0054,-0.0002
HJP,Karnataka,0.0009,0.0007,-0.0002
DPPS,Karnataka,0.0003,0.0001,-0.0002
RPI(A),Kerala,0.0002,0.0000,-0.0002
ALHP,"Madhya Pradesh",0.0002,0.0000,-0.0002
DaVP,"Madhya Pradesh",0.0002,0.0000,-0.0002
BSDS,"Madhya Pradesh",0.0002,0.0000,-0.0002
PSS,"Madhya Pradesh",0.0002,0.0000,-0.0002
DESEP,Maharashtra,0.0002,0.0000,-0.0002
ASP,Maharashtra,0.0002,0.0000,-0.0002
GaAP,Maharashtra,0.0002,0.0000,-0.0002
HSCP,Maharashtra,0.0002,0.0000,-0.0002
SVRP,Maharashtra,0.0002,0.0000,-0.0002
MDPF,Manipur,0.0004,0.0002,-0.0002
NOTA,Nagaland,0.0005,0.0003,-0.0002
DCP,Punjab,0.0002,0.0000,-0.0002
SP,Punjab,0.0002,0.0000,-0.0002
aimpr,Punjab,0.0002,0.0000,-0.0002
SHS,Punjab,0.0023,0.0022,-0.0002
"BA S D",Punjab,0.0002,0.0000,-0.0002
AIFB,Punjab,0.0002,0.0000,-0.0002
PLP,Punjab,0.0003,0.0001,-0.0002
RUC,Rajasthan,0.0002,0.0000,-0.0002
AKBAP,Rajasthan,0.0002,0.0000,-0.0002
NOC,"Tamil Nadu",0.0002,0.0000,-0.0002
RSPS,"Tamil Nadu",0.0002,0.0000,-0.0002
UPI,"Tamil Nadu",0.0002,0.0000,-0.0002
IBSP,"Uttar Pradesh",0.0002,0.0000,-0.0002
ABML(S),"Uttar Pradesh",0.0002,0.0000,-0.0002
aicp,"Uttar Pradesh",0.0002,0.0000,-0.0002
BSKP,"Uttar Pradesh",0.0003,0.0001,-0.0002
BRAVP,"Uttar Pradesh",0.0002,0.0000,-0.0002
NP,"Uttar Pradesh",0.0002,0.0000,-0.0002
RVNP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BRVP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BKP,"Uttar Pradesh",0.0002,0.0000,-0.0002
BSD,"Uttar Pradesh",0.0002,0.0000,-0.0002
MaJP,"Uttar Pradesh",0.0002,0.0000,-0.0002
TRMRPPI,"West Bengal",0.0002,0.0000,-0.0002
IJP,"West Bengal",0.0002,0.0000,-0.0002
AIMF,"West Bengal",0.0002,0.0000,-0.0002
AKBJHP,"West Bengal",0.0016,0.0014,-0.0002
BMNSP,Uttarakhand,0.0002,0.0000,-0.0002
RMGP,Uttarakhand,0.0002,0.0000,-0.0002
BCP,Uttarakhand,0.0002,0.0000,-0.0002
kajp,Uttarakhand,0.0002,0.0000,-0.0002
SHS,Uttarakhand,0.0002,0.0000,-0.0002
NCP,"Andaman & Nicobar Islands",0.0002,0.0000,-0.0002
AITC,"Andaman & Nicobar Islands",0.0004,0.0003,-0.0002
NADP,"NCT OF Delhi",0.0002,0.0000,-0.0002
